Brand,Model,Year,Mileage,VIN,Number Plate
BMW,X5,2004,382479,WBAFB71090LV46058,KM6010
BMW,320,1995,300000,No data about VIN,FO-1765
Opel,Mokka,2016,87256,W0LJB7EE5GB643579,No data about Number Plate
Audi,A4,2005,No data about Mileage,WAUZZZ8E26A084288,KN9694
Volkswagen,Touran,2003,No data about Mileage,WVGZZZ1TZ4W073558,JS9626
BMW,525,2005,No data about Mileage,WBANC510X0CN25300,MF8720
Volvo,V60,2019,37177,YV1ZZA8TCL1031541,NG9714
Volkswagen,Golf,2018,143824,WVWZZZAUZKP514973,NF9228
Audi,A6,2001,369400,WAUZZZ4BX2N062781,MI5416
Volkswagen,Arteon,2018,146651,WVWZZZ3HZJE514669,No data about Number Plate
BMW,X5,2003,No data about Mileage,WBAFA71080LU95056,MN5078
Audi,A4,2016,180894,WAUZZZF49HA012291,No data about Number Plate
Volkswagen,Caddy,2016,176000,WV2ZZZ2KZHX021111,KL4460
Opel,Vivaro,2007,231000,WOL7AJAH7V655433,LR794
Volvo,XC60,2017,105243,YV1UZ10BCJ1010395,NH5829
Kia,cee'd / Ceed,2021,30000,U5YH5F19GML062171,Mu7872
BMW,X6,2019,84196,WBAKV2103K0Z85933,No data about Number Plate
Volvo,XC60,2016,247778,YV1DZA5C6G2912858,NI7588
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Toyota,Hilux,1992,163000,JT4RN01PXN0027567,KR 9158
Volvo,XC40,2019,57160,YV1XZ72VDK2145883,LI9920
Ford,Mondeo,2016,220354,WF0EXXWPCEFU84768,LV831
BMW,330,2000,389562,WBAAL91030FS06521,JH-3141
Chrysler,Grand Voyager,2005,No data about Mileage,1C8GYB4565Y507601,KS6369
Volvo,S60,2006,No data about Mileage,YV1RS814272622130,MR6909
Audi,A3,2004,No data about Mileage,WAUZZZ8P74A151174,KH4327
Nissan,X-Trail,2007,No data about Mileage,JN1TCNT31U0012265,MM7953
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Volvo,V70,2003,No data about Mileage,YV1SW793231329521,JS4913
Volkswagen,Sharan,2004,364000,WVWZZZ7MZ5V004783,GL4460
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Volvo,S60,2011,223285,YV1FS7050B2052669,No data about Number Plate
Volkswagen,Touran,2018,168519,WVGZZZ1TZKW003007,NH3794
Volkswagen,Golf,2018,24120,WVWZZZAUZKW901397,No data about Number Plate
Volkswagen,Caddy,2016,211103,WV2ZZZ2KZHX015916,No data about Number Plate
Mazda,5,2006,260000,JMZCR19R660136387,KN6946
Honda,CR-V,2012,135462,SHSRE5850CU011426,No data about Number Plate
Audi,Q5,2016,120984,WAUZZZ8R0HA019932,KK9724
Volkswagen,Golf,2010,217000,WVWZZZ1KZAM682781,LI5789
Ford,Escape,2005,221771,No data about VIN,No data about Number Plate
Audi,A6,2022,No data about Mileage,No data about VIN,No data about Number Plate
BMW,316,1995,282000,No data about VIN,No data about Number Plate
Audi,A6,2008,297000,WAUZZZ4FX8N145557,MJ2847
Volkswagen,Touareg,2005,315500,No data about VIN,MF3714
Mercedes Benz,C 220,2008,257050,No data about VIN,MK279
BMW,316,2002,350000,No data about VIN,KI4594
Opel,Omega,2005,1369765,No data about VIN,No data about Number Plate
Volvo,XC60,2016,67083,YV1DZA5C6G2912948,NH5326
Volkswagen,Passat,2003,280000,WVWZZZ3BZ4E112987,KV9044
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Volvo,XC90,2020,54368,YV1LCK2UCL1554866,NI8546
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
BMW,525,2005,No data about Mileage,WBANJ51010B411424,KF9125
Volvo,V90,2018,149244,YV1PWA8BCJ1069116,NI2494
Mercedes Benz,S 350,2014,127561,WDD2221331A127757,No data about Number Plate
Audi,A6,2002,500000,WAUZZZ4B73N033689,JJ5265
Volvo,V50,2005,460234,YV1MW753152109580,HG282
Audi,Q3,2021,No data about Mileage,No data about VIN,No data about Number Plate
Ford,Focus,2005,285000,WFOWXXGCDW5A63372,FN9460
Audi,A6,2007,No data about Mileage,WAUZZZ4F77N127645,HR2204
Volkswagen,Golf Sportsvan,2018,126870,WVWZZZAUZKW652701,No data about Number Plate
Volvo,V50,2004,No data about Mileage,YV1MW753152044363,KG677
BMW,120,2006,319500,WBAUG51010PV33603,NH5674
Peugeot,3008,2011,No data about Mileage,VF30U9HR8BS163536,MV3829
Volkswagen,Passat,2017,132210,WVWZZZ3CZHE154713,No data about Number Plate
Ford,S-Max,2009,283000,No data about VIN,MB6659
Lexus,IS 200,2002,272700,JTDBS192800095890,KP6491
BMW,316,1997,300000,No data about VIN,Fu5637
Audi,A4,2009,263318,WAUZZZ8K29A191920,MC3882
Skoda,Octavia,2006,205460,TMBBB21ZX62245106,FZ748
Honda,Accord,2006,310000,No data about VIN,No data about Number Plate
Volkswagen,Touareg,2003,220861,WVGBC67L64D017155,KR9136
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Opel,Vivaro,2005,333020,W0LF7BCD65Y705575,MC-307
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
Audi,Q5,2022,No data about Mileage,No data about VIN,No data about Number Plate
